data_generation,training,metrics,total,generator,sample_size,n_epochs
0.0001010894775390625,0.15423893928527832,0.0016162395477294922,0.15595626831054688,"Normal(μ=0, σ=1)",100,50
6.008148193359375e-05,0.5982239246368408,0.0021638870239257812,0.6004478931427002,"Normal(μ=0, σ=1)",300,50
6.914138793945312e-05,0.4921410083770752,0.003977775573730469,0.4961879253387451,"Normal(μ=0, σ=1)",500,50
6.413459777832031e-05,1.026327133178711,0.012602090835571289,1.0389933586120605,"Normal(μ=0, σ=1)",1000,50
6.985664367675781e-05,2.1104090213775635,0.05237984657287598,2.162858724594116,"Normal(μ=0, σ=1)",2000,45
9.393692016601562e-05,0.14320802688598633,0.0011038780212402344,0.14440584182739258,Exponential(λ=1.00),100,50
7.200241088867188e-05,0.40714287757873535,0.0019309520721435547,0.4091458320617676,Exponential(λ=1.00),300,50
6.198883056640625e-05,0.5782079696655273,0.0034618377685546875,0.5817317962646484,Exponential(λ=1.00),500,50
7.200241088867188e-05,1.0689120292663574,0.011171102523803711,1.0801551342010498,Exponential(λ=1.00),1000,50
7.295608520507812e-05,1.5262970924377441,0.03677797317504883,1.563148021697998,Exponential(λ=1.00),2000,37
6.914138793945312e-05,0.1251220703125,0.0010449886322021484,0.1262362003326416,"Uniform(0, 2)",100,50
5.602836608886719e-05,0.3485739231109619,0.0017330646514892578,0.35036301612854004,"Uniform(0, 2)",300,50
5.7697296142578125e-05,0.5058879852294922,0.0035970211029052734,0.50954270362854,"Uniform(0, 2)",500,50
6.29425048828125e-05,1.0544676780700684,0.010022878646850586,1.0645534992218018,"Uniform(0, 2)",1000,50
6.604194641113281e-05,2.293186664581299,0.03554105758666992,2.32879376411438,"Uniform(0, 2)",2000,50
