         1331522 function calls (1305160 primitive calls) in 1.307 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.001    0.000    0.098    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/optim/optimizer.py:497(wrapper)
      200    0.001    0.000    0.094    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/optim/optimizer.py:62(_use_grad)
      200    0.000    0.000    0.093    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/optim/adam.py:213(step)
        1    0.000    0.000    0.089    0.089 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/variables/misc.py:1(<module>)
      200    0.000    0.000    0.089    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/optim/optimizer.py:133(maybe_fallback)
      200    0.001    0.000    0.089    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/optim/adam.py:885(adam)
      200    0.011    0.000    0.087    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/optim/adam.py:345(_single_tensor_adam)
        1    0.000    0.000    0.085    0.085 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/variables/functions.py:1(<module>)
        1    0.000    0.000    0.083    0.083 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/fsdp/__init__.py:1(<module>)
      777    0.029    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:512(_compile_bytecode)
        1    0.000    0.000    0.070    0.070 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/polys/polyfuncs.py:1(<module>)
        1    0.000    0.000    0.070    0.070 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/polys/specialpolys.py:1(<module>)
        1    0.000    0.000    0.067    0.067 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/fsdp/_flat_param.py:1(<module>)
        1    0.000    0.000    0.065    0.065 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/polys/rings.py:1(<module>)
        1    0.000    0.000    0.064    0.064 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/printing/__init__.py:1(<module>)
1972/1920    0.015    0.000    0.062    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.061    0.061 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/fsdp/_fsdp_extensions.py:1(<module>)
      253    0.000    0.000    0.055    0.000 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/dataclasses.py:1359(wrap)
      253    0.004    0.000    0.055    0.000 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/dataclasses.py:934(_process_class)
  2780/20    0.001    0.000    0.055    0.003 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/importlib/__init__.py:71(import_module)
  2780/20    0.001    0.000    0.054    0.003 <frozen importlib._bootstrap>:1386(_gcd_import)
        1    0.000    0.000    0.054    0.054 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/polyfills/loader.py:1(<module>)
       12    0.000    0.000    0.053    0.004 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/polyfills/loader.py:28(<genexpr>)
        1    0.000    0.000    0.053    0.053 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/printing/pycode.py:1(<module>)
        1    0.000    0.000    0.052    0.052 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/printing/codeprinter.py:1(<module>)
        1    0.000    0.000    0.052    0.052 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/functions/__init__.py:1(<module>)
       30    0.000    0.000    0.051    0.002 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/decorators.py:386(wrapper)
        1    0.000    0.000    0.049    0.049 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/polyfills/_collections.py:1(<module>)
        1    0.001    0.001    0.048    0.048 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/trace_rules.py:2990(get_torch_obj_rule_map)
        1    0.000    0.000    0.047    0.047 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/fsdp/_shard_utils.py:1(<module>)
     2760    0.001    0.000    0.047    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/trace_rules.py:3024(load_object)
        1    0.000    0.000    0.047    0.047 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/tensor/__init__.py:1(<module>)
        1    0.000    0.000    0.046    0.046 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/tensor/_ops/__init__.py:1(<module>)
      777    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
        9    0.000    0.000    0.040    0.004 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/inspect.py:949(findsource)
        6    0.000    0.000    0.039    0.007 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/library.py:187(_register_fake)
        1    0.000    0.000    0.039    0.039 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/distributed/tensor/_ops/_conv_ops.py:1(<module>)
        6    0.000    0.000    0.039    0.006 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_library/utils.py:35(get_source)
        6    0.000    0.000    0.039    0.006 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/inspect.py:1562(getframeinfo)
     2760    0.001    0.000    0.039    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/trace_rules.py:3014(_load_obj_from_str)
 1809/201    0.001    0.000    0.038    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1771(_wrapped_call_impl)
 1809/201    0.001    0.000    0.038    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/nn/modules/module.py:1779(_call_impl)
      201    0.000    0.000    0.038    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/src/methods.py:65(forward)
       15    0.003    0.000    0.038    0.003 /Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/inspect.py:897(getmodule)
