generator,sample_size,training_time_mean,training_time_std,final_loss_mean,final_loss_std,n_epochs_mean,n_epochs_std,mmd_mean,mmd_std,two_sample_mean_p_mean,two_sample_mean_p_std,two_sample_rejected_mean,two_sample_rejected_std,mean_distance_mean,mean_distance_std,cov_frobenius_mean,cov_frobenius_std
ChiSquare(df=5),100,2.581272,0.149795,2.220102,0.293308,200.0,0.0,0.385745,0.062534,0.002418,0.007603,1.0,0.0,1.752111,0.504231,9.527869,2.033833
ChiSquare(df=5),300,8.413677,1.844243,1.719988,0.115963,173.1,19.427644,0.051801,0.032031,0.275456,0.18863,0.0,0.0,0.171084,0.096807,3.277178,1.042286
ChiSquare(df=5),500,10.542672,2.050874,1.714359,0.060032,150.7,19.950216,0.020851,0.020906,0.417439,0.233223,0.0,0.0,0.096432,0.070631,2.595428,0.816696
ChiSquare(df=5),1000,11.795892,3.945814,1.698058,0.062741,101.8,12.407883,0.005902,0.008966,0.595938,0.19821,0.0,0.0,0.089423,0.0511,1.367715,0.740849
ChiSquare(df=5),2000,13.103099,6.255677,1.694734,0.038725,77.6,16.800794,0.006254,0.010129,0.473822,0.259818,0.0,0.0,0.088863,0.070453,0.99467,0.447079
Exponential(λ=1.00),100,2.249767,0.407416,0.576893,0.070962,200.0,0.0,0.283528,0.039885,0.005216,0.007266,1.0,0.0,0.202633,0.062907,1.016228,0.23456
Exponential(λ=1.00),300,5.497048,0.68897,0.515829,0.027386,165.8,23.644591,0.0254,0.025728,0.533739,0.266166,0.0,0.0,0.066344,0.052284,0.338322,0.17557
Exponential(λ=1.00),500,6.188383,0.884792,0.512822,0.032618,139.7,19.264533,0.020734,0.028274,0.416284,0.249242,0.1,0.316228,0.056991,0.031369,0.258088,0.086752
Exponential(λ=1.00),1000,7.995612,1.876055,0.492673,0.018135,88.8,20.644074,0.02156,0.023234,0.347592,0.243319,0.2,0.421637,0.04802,0.023309,0.273759,0.059968
Exponential(λ=1.00),2000,13.060894,2.258512,0.50218,0.017912,70.6,10.88526,0.020721,0.009822,0.349435,0.226625,0.1,0.316228,0.03067,0.016004,0.22123,0.045851
"Lognormal(μ=0, σ=1)",100,2.480064,0.237987,0.995753,0.217445,200.0,0.0,0.341088,0.035688,0.003723,0.007411,1.0,0.0,0.475671,0.222164,4.064151,2.184371
"Lognormal(μ=0, σ=1)",300,6.121665,0.723471,0.825455,0.072935,174.8,22.205105,0.053194,0.036217,0.369021,0.228352,0.1,0.316228,0.240938,0.103184,3.041933,1.44202
"Lognormal(μ=0, σ=1)",500,7.460893,0.771173,0.864391,0.080449,151.7,17.607132,0.074386,0.021287,0.215399,0.177405,0.1,0.316228,0.198432,0.073138,3.017866,1.298959
"Lognormal(μ=0, σ=1)",1000,12.289551,3.181408,0.864587,0.055989,105.6,18.839674,0.056305,0.022123,0.134599,0.155421,0.3,0.483046,0.221894,0.059593,3.185703,1.25454
"Lognormal(μ=0, σ=1)",2000,19.220968,5.443574,0.849045,0.024569,88.1,16.481977,0.042578,0.01505,0.104819,0.145616,0.4,0.516398,0.151528,0.036609,2.437192,0.611926
"Normal(μ=0, σ=1)",100,2.283235,0.575362,0.585147,0.031012,198.9,3.478505,0.047552,0.069717,0.55561,0.246324,0.0,0.0,0.059418,0.043131,0.362769,0.244337
"Normal(μ=0, σ=1)",300,3.742438,0.699949,0.557573,0.01999,116.8,17.992591,0.013286,0.021604,0.594622,0.203129,0.0,0.0,0.054336,0.035015,0.114215,0.066519
"Normal(μ=0, σ=1)",500,4.672457,0.970497,0.578753,0.019851,103.5,14.698828,0.011833,0.019129,0.672375,0.259997,0.0,0.0,0.030621,0.028601,0.118077,0.050606
"Normal(μ=0, σ=1)",1000,5.55215,1.066388,0.566373,0.012816,62.9,10.386423,0.017231,0.016796,0.531337,0.274643,0.1,0.316228,0.022921,0.022881,0.09762,0.039146
"Normal(μ=0, σ=1)",2000,11.288522,3.598804,0.567703,0.011918,62.3,19.983604,0.016149,0.011851,0.301101,0.267463,0.2,0.421637,0.033089,0.024995,0.061419,0.031159
"Uniform(0, 2)",100,2.176598,0.076128,0.354243,0.020868,200.0,0.0,0.180065,0.041922,0.020251,0.033532,0.9,0.316228,0.081059,0.040964,0.176885,0.034759
"Uniform(0, 2)",300,5.185824,0.791119,0.336388,0.009451,158.4,23.090161,0.078467,0.02897,0.12382,0.174858,0.5,0.527046,0.043597,0.02453,0.037206,0.014662
"Uniform(0, 2)",500,6.018209,0.778215,0.339848,0.009,130.6,15.959671,0.078065,0.013261,0.043493,0.027553,0.6,0.516398,0.042196,0.020877,0.055314,0.028758
"Uniform(0, 2)",1000,9.091088,2.865534,0.337357,0.005352,97.1,30.992651,0.065458,0.018474,0.008042,0.011959,1.0,0.0,0.030171,0.017484,0.077248,0.019512
"Uniform(0, 2)",2000,18.816316,5.134458,0.337489,0.003952,89.8,23.308558,0.054732,0.012743,7e-05,7.4e-05,1.0,0.0,0.019937,0.007123,0.07316,0.01634
