generator,sample_size,replication,training_time,final_loss,final_term1,final_term2,n_epochs,mmd,two_sample_min_p,two_sample_mean_p,two_sample_rejected,mean_distance,cov_frobenius,cov_trace
"Normal(μ=0, σ=1)",100,0,4.270931005477905,0.5273049473762512,0.9605914354324341,0.8665730953216553,200,0.07294584904406184,0.5830090612540064,0.5830090612540064,0,0.0033429712057113647,0.3661794508384735,0.3661794508384735
"Normal(μ=0, σ=1)",100,1,3.212618112564087,0.5682643055915833,1.0854030847549438,1.0342776775360107,200,0.0,0.9084105017744525,0.9084105017744525,0,0.019202785566449165,0.36294110743598385,0.36294110743598385
"Normal(μ=0, σ=1)",100,2,3.2121639251708984,0.605048418045044,1.1278284788131714,1.0455601215362549,200,0.03575208030446705,0.5830090612540064,0.5830090612540064,0,0.05086112022399902,0.48791603018460594,0.48791603018460594
"Normal(μ=0, σ=1)",100,3,3.31027889251709,0.595660388469696,0.9840020537376404,0.7766833305358887,200,0.2127271845435349,0.05390207893129876,0.05390207893129876,0,0.07532256841659546,0.735023444137727,0.735023444137727
"Normal(μ=0, σ=1)",100,4,3.0672030448913574,0.5092377662658691,0.9790585041046143,0.9396414756774902,200,0.0,0.7020569828664881,0.7020569828664881,0,0.07088238000869751,0.2209660059131563,0.2209660059131563
"Normal(μ=0, σ=1)",100,5,3.2938270568847656,0.5491169691085815,0.9834875464439392,0.8687411546707153,200,0.0,0.8154147124661313,0.8154147124661313,0,0.08126334846019745,0.2502327346999397,0.2502327346999397
"Normal(μ=0, σ=1)",100,6,3.13087797164917,0.4888893961906433,0.871127188205719,0.764475405216217,200,0.11973071479705845,0.36818778606286096,0.36818778606286096,0,0.028828762471675873,0.4019005731464085,0.4019005731464085
"Normal(μ=0, σ=1)",100,7,4.271023988723755,0.6042582988739014,1.0788276195526123,0.9491389393806458,200,0.053438368798640674,0.8154147124661313,0.8154147124661313,0,0.009762194007635117,0.507678917172612,0.507678917172612
"Normal(μ=0, σ=1)",100,8,3.401506185531616,0.571079432964325,1.0750254392623901,1.00789213180542,200,0.0,0.5830090612540064,0.5830090612540064,0,0.10081931948661804,0.2813702795695454,0.2813702795695454
"Normal(μ=0, σ=1)",100,9,3.337116241455078,0.5197986364364624,0.937663733959198,0.8357301354408264,200,0.0,0.469506448503778,0.469506448503778,0,0.06484772264957428,0.12204454725073288,0.12204454725073288
"Normal(μ=0, σ=1)",300,0,6.544886112213135,0.5572746407985687,1.0553719607988994,0.9961945637067159,108,0.05086526125528477,0.584980918983971,0.584980918983971,0,0.004818819463253021,0.3193636210464387,0.3193636210464387
"Normal(μ=0, σ=1)",300,1,5.3427228927612305,0.556607092221578,1.0875085544586183,1.0618028736114502,114,0.05010819714249075,0.5182685170344619,0.5182685170344619,0,0.046489566564559937,0.024796165736630682,0.024796165736630682
"Normal(μ=0, σ=1)",300,2,5.8438520431518555,0.5992826040585836,1.1789418697357177,1.159318463007609,116,0.0,0.34165950354815394,0.34165950354815394,0,0.022868402302265167,0.08762911969380549,0.08762911969380549
"Normal(μ=0, σ=1)",300,3,5.465816020965576,0.5698806889851888,1.116900666554769,1.0940399885177612,107,0.017051730980173322,0.584980918983971,0.584980918983971,0,0.05862990766763687,0.18606313413080877,0.18606313413080877
"Normal(μ=0, σ=1)",300,4,7.5676867961883545,0.5963361485799153,1.175474328994751,1.158276343345642,127,0.0,0.584980918983971,0.584980918983971,0,0.04394885152578354,0.16510474991869206,0.16510474991869206
"Normal(μ=0, σ=1)",300,5,6.195518970489502,0.5741537586847941,1.1326823727289836,1.1170571088790893,127,0.0,0.7220634112888834,0.7220634112888834,0,0.0618562176823616,0.04227301051351384,0.04227301051351384
"Normal(μ=0, σ=1)",300,6,4.760292053222656,0.5953243851661683,1.1438169558842977,1.0969850397109986,97,0.03495097328073822,0.65357468169842,0.65357468169842,0,0.014291241765022278,0.14871591433813391,0.14871591433813391
"Normal(μ=0, σ=1)",300,7,5.2757391929626465,0.5807995899518331,1.1514619525273642,1.1413246409098308,112,0.0,0.65357468169842,0.65357468169842,0,0.02863513119518757,0.09275184539803438,0.09275184539803438
"Normal(μ=0, σ=1)",300,8,6.055170059204102,0.552532943089803,1.082271655400594,1.059477440516154,123,0.0,0.9003231885744891,0.9003231885744891,0,0.025279736146330833,0.056163280042345165,0.056163280042345165
"Normal(μ=0, σ=1)",300,9,6.3638410568237305,0.55995041847229,1.111993613243103,1.104086407025655,121,0.0,0.4548928024568597,0.4548928024568597,0,0.1078033447265625,0.12135522990744307,0.12135522990744307
"Normal(μ=0, σ=1)",500,0,9.643254041671753,0.5751235933303833,1.132061628341675,1.1138759784698486,127,0.023209842523956487,0.5089169658042532,0.5089169658042532,0,0.006380464881658554,0.08077012283156981,0.08077012283156981
"Normal(μ=0, σ=1)",500,1,6.620394945144653,0.5884224610328674,1.142974675178528,1.1091044034957886,81,0.021411550136940915,0.5600220048872044,0.5600220048872044,0,0.006954742595553398,0.17332911772133675,0.17332911772133675
"Normal(μ=0, σ=1)",500,2,6.152940034866333,0.5519903287887573,1.0795743379592895,1.055167929649353,91,0.0,0.8191511303355717,0.8191511303355717,0,0.02613614685833454,0.10883294857919734,0.10883294857919734
"Normal(μ=0, σ=1)",500,3,5.007054090499878,0.5545037894248962,1.0787594423294067,1.048511278152466,77,0.0,0.4599232291065006,0.4599232291065006,0,0.02363947406411171,0.04910144932935312,0.04910144932935312
