generator,sample_size,replication,training_time,final_loss,final_term1,final_term2,n_epochs,mmd,two_sample_min_p,two_sample_mean_p,two_sample_rejected,mean_distance,cov_frobenius,cov_trace
"Normal(μ=0, σ=1)",100,0,3.4222540855407715,0.4974521994590759,0.9118635058403015,0.8288227915763855,200,0.0,0.8154147124661313,0.8154147124661313,0,0.0589124858379364,0.30307268174979995,0.30307268174979995
"Normal(μ=0, σ=1)",100,1,2.0691678524017334,0.5004648566246033,0.9634424448013306,0.9259551763534546,200,0.03380585836188072,0.7020569828664881,0.7020569828664881,0,0.05391573905944824,0.3575916549090523,0.3575916549090523
"Normal(μ=0, σ=1)",100,2,2.1172420978546143,0.5558789968490601,0.9741453528404236,0.8365326523780823,200,0.11249729231248846,0.5830090612540064,0.5830090612540064,0,0.005716919898986816,0.4697594022390169,0.4697594022390169
"Normal(μ=0, σ=1)",100,3,2.1460118293762207,0.6339520215988159,1.0986323356628418,0.9293608069419861,200,0.1567627957841312,0.1548386665118475,0.1548386665118475,0,0.10479671508073807,0.6015943903373938,0.6015943903373938
"Normal(μ=0, σ=1)",100,4,3.182800054550171,0.6348470449447632,1.1583131551742554,1.0469322204589844,190,0.03554719086688998,0.36818778606286096,0.36818778606286096,0,0.1133977621793747,0.4663433430447298,0.4663433430447298
"Normal(μ=0, σ=1)",100,5,2.117737054824829,0.5659182071685791,0.9900615215301514,0.848286509513855,200,0.0639729829519577,0.2819416298082479,0.2819416298082479,0,0.11774562299251556,0.3231770247971367,0.3231770247971367
"Normal(μ=0, σ=1)",100,6,2.1489510536193848,0.6494442224502563,1.195806622505188,1.0927248001098633,200,0.022689882599417566,0.5830090612540064,0.5830090612540064,0,0.051086053252220154,0.45657651157702694,0.45657651157702694
"Normal(μ=0, σ=1)",100,7,2.1144630908966064,0.5437301397323608,0.9837639331817627,0.8800675868988037,200,0.048972374535718954,0.7020569828664881,0.7020569828664881,0,0.014925897121429443,0.3439831891370061,0.3439831891370061
"Normal(μ=0, σ=1)",100,8,3.335704803466797,0.6144816875457764,0.9988097548484802,0.7686560750007629,200,0.16821018722773956,0.07822115797841851,0.07822115797841851,0,0.007104665040969849,0.7380649878799359,0.7380649878799359
"Normal(μ=0, σ=1)",100,9,2.149970293045044,0.5672106146812439,1.0316739082336426,0.9289265275001526,200,0.0,0.7020569828664881,0.7020569828664881,0,0.09729474782943726,0.2129874467989683,0.2129874467989683
"Normal(μ=0, σ=1)",500,0,4.8485729694366455,0.5560564818382263,1.0791919269561767,1.0462707433700562,106,0.042672670260333015,0.3699050405997647,0.3699050405997647,0,0.008586916141211987,0.13863723387531357,0.13863723387531357
"Normal(μ=0, σ=1)",500,1,3.4628939628601074,0.5607877411842346,1.0988377857208251,1.0761002025604247,72,0.03541437746980928,0.1725563396262406,0.1725563396262406,0,0.09082400053739548,0.007276974682106752,0.007276974682106752
"Normal(μ=0, σ=1)",500,2,5.20890474319458,0.5910391497612,1.1612368278503418,1.1403952674865723,91,0.03475769306773542,0.7704365372945415,0.7704365372945415,0,0.005964338779449463,0.0768084378118492,0.0768084378118492
"Normal(μ=0, σ=1)",500,3,4.381231069564819,0.57853147315979,1.129778166770935,1.1024932956695557,98,0.07128261854054187,0.01637912818629415,0.01637912818629415,1,0.13572436571121216,0.0010092525418574638,0.0010092525418574638
"Normal(μ=0, σ=1)",500,4,3.973634958267212,0.5268170447349548,1.0386926069259643,1.0237510690689087,85,0.0,0.7189191850204419,0.7189191850204419,0,0.022627290338277817,0.07148162773668498,0.07148162773668498
"Normal(μ=0, σ=1)",500,5,3.4197239875793457,0.5656734495162964,1.1100196628570556,1.0886923933029176,70,0.06015988923845137,0.08150167321107067,0.08150167321107067,0,0.06884893774986267,0.13750895434584287,0.13750895434584287
"Normal(μ=0, σ=1)",500,6,4.70336389541626,0.5717192997932434,1.1180476064682008,1.0926566467285157,78,0.0,0.7189191850204419,0.7189191850204419,0,0.014023451134562492,0.07551365708112201,0.07551365708112201
