generator,sample_size,training_time_mean,training_time_std,final_loss_mean,final_loss_std,n_epochs_mean,n_epochs_std,mmd_mean,mmd_std,two_sample_mean_p_mean,two_sample_mean_p_std,two_sample_rejected_mean,two_sample_rejected_std,mean_distance_mean,mean_distance_std,cov_frobenius_mean,cov_frobenius_std
ChiSquare(df=5),100,3.747162,0.942584,2.26326,0.24633,200.0,0.0,0.403233,0.07141,2.3e-05,7.1e-05,1.0,0.0,1.85311,0.385729,9.262207,1.759423
ChiSquare(df=5),300,10.064339,1.440834,1.716416,0.062691,155.7,21.980041,0.077033,0.030319,0.146184,0.13496,0.2,0.421637,0.122576,0.087586,3.676658,1.069718
ChiSquare(df=5),500,13.556953,1.996494,1.719662,0.079561,158.4,18.03207,0.025764,0.031381,0.514004,0.347831,0.0,0.0,0.123882,0.097433,2.08258,1.115832
ChiSquare(df=5),1000,15.015607,5.003133,1.719859,0.046401,108.4,19.409047,0.007644,0.012985,0.635461,0.296998,0.0,0.0,0.103185,0.037952,1.558808,0.956758
ChiSquare(df=5),2000,14.368584,8.021065,1.690179,0.035094,77.6,13.582669,0.00561,0.011991,0.693926,0.312259,0.0,0.0,0.046603,0.030684,0.660125,0.403274
Exponential(λ=1.00),100,3.421855,0.303894,0.520452,0.046276,200.0,0.0,0.267923,0.028225,0.005321,0.005151,1.0,0.0,0.143379,0.066827,0.740296,0.174617
Exponential(λ=1.00),300,8.853566,0.753596,0.508512,0.029948,165.9,14.471812,0.026919,0.026472,0.549604,0.241144,0.0,0.0,0.03572,0.03524,0.326285,0.139081
Exponential(λ=1.00),500,9.3385,0.956339,0.493496,0.018656,122.3,12.147702,0.029915,0.023082,0.37007,0.222588,0.0,0.0,0.046531,0.040958,0.28549,0.139297
Exponential(λ=1.00),1000,14.54684,2.268148,0.496606,0.018347,91.9,12.8448,0.018738,0.014959,0.47259,0.204762,0.0,0.0,0.037668,0.028312,0.242205,0.076869
Exponential(λ=1.00),2000,21.089657,4.503189,0.502229,0.014079,64.9,13.403565,0.023925,0.009623,0.100976,0.065841,0.3,0.483046,0.037913,0.023176,0.207523,0.059005
"Lognormal(μ=0, σ=1)",100,4.143179,0.161877,0.926779,0.19706,200.0,0.0,0.333792,0.038069,0.003168,0.004747,1.0,0.0,0.39913,0.235302,3.581937,2.133966
"Lognormal(μ=0, σ=1)",300,10.833428,1.491497,0.867878,0.124373,176.8,21.586004,0.080074,0.025263,0.254878,0.179755,0.1,0.316228,0.179932,0.107967,2.76123,2.138201
"Lognormal(μ=0, σ=1)",500,13.069069,1.23945,0.898954,0.091774,150.8,13.530213,0.06983,0.024423,0.173826,0.101306,0.2,0.421637,0.227291,0.079117,3.868626,1.946229
"Lognormal(μ=0, σ=1)",1000,19.113388,3.975483,0.856545,0.049636,110.6,21.349993,0.057288,0.027931,0.170529,0.184309,0.5,0.527046,0.181323,0.063205,2.765718,1.313773
"Lognormal(μ=0, σ=1)",2000,28.149686,8.484497,0.876632,0.029456,94.3,16.19362,0.043248,0.011136,0.099972,0.092259,0.3,0.483046,0.170625,0.037344,2.947822,0.568466
"Normal(μ=0, σ=1)",100,3.450755,0.443258,0.553866,0.041515,200.0,0.0,0.049459,0.070381,0.588192,0.250954,0.0,0.0,0.050513,0.033414,0.373625,0.174147
"Normal(μ=0, σ=1)",300,5.941553,0.795628,0.574214,0.017938,115.2,9.635582,0.015298,0.021782,0.59993,0.151286,0.0,0.0,0.041462,0.029808,0.124422,0.08676
"Normal(μ=0, σ=1)",500,7.053509,1.458007,0.569913,0.01647,98.7,18.649099,0.021351,0.019953,0.507334,0.230936,0.0,0.0,0.031137,0.024774,0.127495,0.05575
"Normal(μ=0, σ=1)",1000,9.863535,2.080701,0.57059,0.009203,69.3,12.901766,0.021705,0.014845,0.471539,0.2437,0.0,0.0,0.019095,0.015794,0.083455,0.037839
"Normal(μ=0, σ=1)",2000,14.253688,3.413557,0.560644,0.009298,47.6,10.844353,0.016659,0.010081,0.450143,0.25818,0.0,0.0,0.018084,0.011444,0.071956,0.0229
"Uniform(0, 2)",100,3.855535,0.199115,0.36709,0.014395,198.5,4.743416,0.192692,0.035153,0.008924,0.010737,1.0,0.0,0.067181,0.041295,0.190888,0.035658
"Uniform(0, 2)",300,8.507279,0.87116,0.334262,0.007628,145.8,12.497111,0.073659,0.015166,0.058962,0.056997,0.5,0.527046,0.068069,0.043101,0.029059,0.021805
"Uniform(0, 2)",500,10.761613,1.42897,0.336385,0.010147,132.0,18.147543,0.075435,0.018987,0.029783,0.037109,0.9,0.316228,0.05485,0.020082,0.063554,0.034851
"Uniform(0, 2)",1000,16.1138,2.876367,0.338248,0.003635,97.3,16.911863,0.066907,0.019191,0.006502,0.008095,1.0,0.0,0.022219,0.016646,0.075001,0.031713
"Uniform(0, 2)",2000,27.973418,9.030346,0.336735,0.002823,84.4,23.712163,0.052977,0.006096,0.000134,0.000257,1.0,0.0,0.024093,0.01452,0.077711,0.019841
