generator,sample_size,training_time_mean,training_time_std,final_loss_mean,final_loss_std,n_epochs_mean,n_epochs_std,mmd_mean,mmd_std,two_sample_mean_p_mean,two_sample_mean_p_std,two_sample_rejected_mean,two_sample_rejected_std,mean_distance_mean,mean_distance_std,cov_frobenius_mean,cov_frobenius_std
ChiSquare(df=5),100,2.236861,0.076536,2.494145,0.340138,200.0,0.0,0.445049,0.059549,5e-06,1.1e-05,1.0,0.0,2.147076,0.556862,10.389047,1.922111
ChiSquare(df=5),500,6.522058,1.721337,1.706133,0.071644,156.1,28.403638,0.014474,0.023787,0.426875,0.254125,0.0,0.0,0.10646,0.089441,2.205226,1.111902
ChiSquare(df=5),1000,5.920138,2.560143,1.696556,0.029331,101.0,11.935009,0.015829,0.015036,0.488266,0.248471,0.0,0.0,0.063373,0.039085,1.238034,0.619204
Exponential(λ=1.00),100,2.92211,1.596261,0.549205,0.063396,200.0,0.0,0.279387,0.038522,0.002148,0.002535,1.0,0.0,0.14267,0.070577,0.890747,0.253065
Exponential(λ=1.00),500,6.196448,0.734037,0.495089,0.021291,131.2,17.548663,0.013269,0.020553,0.59592,0.231887,0.0,0.0,0.060684,0.04456,0.272623,0.144244
Exponential(λ=1.00),1000,9.144225,1.252268,0.509086,0.022689,95.1,13.059267,0.019323,0.016653,0.392,0.161157,0.0,0.0,0.036916,0.019077,0.23994,0.10206
"Lognormal(μ=0, σ=1)",100,2.250937,0.09259,0.889565,0.099529,200.0,0.0,0.347895,0.024302,0.000716,0.00083,1.0,0.0,0.404746,0.0991,3.272369,1.423645
"Lognormal(μ=0, σ=1)",500,7.345714,1.05563,0.8314,0.065892,156.7,22.891289,0.06455,0.013069,0.225852,0.133515,0.1,0.316228,0.177331,0.058656,2.247534,0.739186
"Lognormal(μ=0, σ=1)",1000,8.757718,2.164943,0.883871,0.06203,99.1,17.622271,0.066136,0.020257,0.070294,0.058599,0.4,0.516398,0.20322,0.052304,3.110251,1.327917
"Normal(μ=0, σ=1)",100,3.193563,1.944551,0.578908,0.042313,200.0,0.0,0.069819,0.071322,0.429809,0.252518,0.1,0.316228,0.085311,0.042876,0.454979,0.13804
"Normal(μ=0, σ=1)",500,4.77075,1.706025,0.567436,0.017557,90.8,14.296853,0.01733,0.0185,0.533267,0.288115,0.0,0.0,0.042237,0.020954,0.11311,0.045918
"Normal(μ=0, σ=1)",1000,7.527616,2.233428,0.559518,0.012921,70.3,19.562152,0.018021,0.014713,0.43582,0.239384,0.0,0.0,0.029893,0.018791,0.100162,0.039817
"Uniform(0, 2)",100,2.292803,0.167775,0.366825,0.025079,200.0,0.0,0.180307,0.03779,0.026781,0.029528,0.6,0.516398,0.074894,0.049475,0.180669,0.042077
"Uniform(0, 2)",500,5.959222,0.945519,0.335611,0.007366,123.7,19.692356,0.074965,0.02307,0.034477,0.04379,0.8,0.421637,0.042535,0.023446,0.039541,0.028483
"Uniform(0, 2)",1000,10.32159,1.846789,0.334903,0.00555,108.3,21.980041,0.060332,0.021,0.005849,0.009341,1.0,0.0,0.030158,0.009585,0.074263,0.022082
