generator,sample_size,training_time_mean,training_time_std,final_loss_mean,final_loss_std,n_epochs_mean,n_epochs_std,mmd_mean,mmd_std,two_sample_mean_p_mean,two_sample_mean_p_std,two_sample_rejected_mean,two_sample_rejected_std,mean_distance_mean,mean_distance_std,cov_frobenius_mean,cov_frobenius_std
ChiSquare(df=5),100,2.837106,0.470402,2.091045,0.244736,200.0,0.0,0.349607,0.053509,0.000138,0.000406,1.0,0.0,1.64096,0.416837,8.955775,2.617399
ChiSquare(df=5),300,10.39112,1.529049,1.679459,0.099908,177.3,20.066833,0.033477,0.032894,0.362853,0.177916,0.0,0.0,0.152688,0.081881,2.812048,0.962752
ChiSquare(df=5),500,12.547457,2.956136,1.714649,0.083047,151.2,24.849771,0.033139,0.024785,0.320233,0.255689,0.0,0.0,0.106448,0.059614,2.67564,1.208768
ChiSquare(df=5),1000,13.676732,3.000277,1.71189,0.045397,99.2,15.654605,0.0,0.0,0.72235,0.129599,0.0,0.0,0.079781,0.051957,1.410225,0.618744
ChiSquare(df=5),2000,15.394647,8.31982,1.713423,0.0426,75.3,8.380533,0.009007,0.014552,0.607606,0.293446,0.0,0.0,0.075564,0.03356,0.905503,0.582444
Exponential(λ=1.00),100,2.198958,0.332985,0.528889,0.054363,200.0,0.0,0.265813,0.027709,0.005013,0.005409,1.0,0.0,0.148836,0.049838,0.854689,0.230793
Exponential(λ=1.00),300,5.373722,0.951363,0.516686,0.028526,164.9,21.916255,0.031253,0.02939,0.450885,0.27386,0.1,0.316228,0.056555,0.04122,0.361814,0.087882
Exponential(λ=1.00),500,6.114222,0.929931,0.493849,0.027513,141.7,21.602726,0.028715,0.024543,0.337927,0.167311,0.0,0.0,0.043053,0.02465,0.24534,0.09341
Exponential(λ=1.00),1000,8.163808,1.550274,0.505818,0.024838,88.4,17.180092,0.012295,0.011819,0.47632,0.257961,0.1,0.316228,0.048991,0.02432,0.264306,0.096452
Exponential(λ=1.00),2000,13.357713,2.820606,0.502477,0.011428,69.8,12.327025,0.017666,0.012562,0.242626,0.222504,0.4,0.516398,0.035267,0.024385,0.208791,0.061944
"Lognormal(μ=0, σ=1)",100,2.574803,0.194536,0.891851,0.252564,200.0,0.0,0.294901,0.03142,0.00698,0.004982,1.0,0.0,0.464333,0.236356,5.162631,6.046566
"Lognormal(μ=0, σ=1)",300,7.371677,0.586236,0.940833,0.133722,194.0,9.104334,0.069519,0.038168,0.356519,0.210629,0.1,0.316228,0.234511,0.103887,3.912192,2.285095
"Lognormal(μ=0, σ=1)",500,8.508355,0.93428,0.898183,0.085375,153.3,16.680328,0.087197,0.023527,0.177292,0.177304,0.2,0.421637,0.222519,0.065971,3.335857,1.176119
"Lognormal(μ=0, σ=1)",1000,16.565987,6.868934,0.855708,0.041727,117.2,27.458251,0.051501,0.016666,0.111217,0.137368,0.6,0.516398,0.196285,0.077292,3.051899,1.615108
"Lognormal(μ=0, σ=1)",2000,24.225979,10.984346,0.853165,0.026905,97.3,25.534508,0.048222,0.010846,0.059555,0.04274,0.4,0.516398,0.144493,0.04541,2.635693,0.761649
"Normal(μ=0, σ=1)",100,2.199024,0.538516,0.581475,0.04433,199.1,2.84605,0.051126,0.044932,0.504063,0.24396,0.0,0.0,0.094119,0.077799,0.399341,0.153045
"Normal(μ=0, σ=1)",300,3.473006,0.581434,0.561632,0.01623,111.5,15.600926,0.032949,0.032001,0.495914,0.280776,0.0,0.0,0.052735,0.030551,0.120349,0.044288
"Normal(μ=0, σ=1)",500,4.127763,0.938671,0.565418,0.020122,93.2,12.576875,0.027472,0.030181,0.472828,0.309615,0.0,0.0,0.047047,0.02606,0.099082,0.056022
"Normal(μ=0, σ=1)",1000,5.875112,1.063756,0.569005,0.016765,67.3,10.729502,0.015687,0.014582,0.59279,0.252181,0.0,0.0,0.014861,0.011005,0.088945,0.044142
"Normal(μ=0, σ=1)",2000,10.119025,2.250199,0.559883,0.006122,56.3,12.428015,0.024883,0.005556,0.255761,0.179087,0.1,0.316228,0.029447,0.019105,0.076331,0.033892
"Uniform(0, 2)",100,2.229595,0.083624,0.356305,0.017876,199.9,0.316228,0.182227,0.041496,0.012584,0.013114,1.0,0.0,0.081831,0.042113,0.176543,0.042795
"Uniform(0, 2)",300,4.906982,0.530033,0.34015,0.01063,145.8,16.410024,0.078388,0.020926,0.066553,0.055108,0.5,0.527046,0.04749,0.026106,0.032585,0.022114
"Uniform(0, 2)",500,6.311763,1.278822,0.333095,0.009331,133.2,28.129858,0.066492,0.012082,0.051898,0.048523,0.4,0.516398,0.053653,0.01672,0.052606,0.027565
"Uniform(0, 2)",1000,9.248368,1.629828,0.337424,0.004705,95.4,18.986545,0.061816,0.016718,0.003171,0.002603,1.0,0.0,0.027512,0.0139,0.078221,0.019411
"Uniform(0, 2)",2000,17.796734,7.400759,0.335154,0.004573,75.3,16.52641,0.05737,0.011306,3.8e-05,5.5e-05,1.0,0.0,0.028447,0.012291,0.080983,0.016518
